Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,shdi,healthindex,edindex,incindex
Guatemala,America,GTM,National,GTMt,Total,2013,0.691,0.783,0.602,0.699
Guatemala,America,GTM,Subnat,GTMr105,Central,2013,0.688,0.775,0.601,0.697
Guatemala,America,GTM,Subnat,GTMr101,Metropolitan,2013,0.785,0.807,0.765,0.784
Guatemala,America,GTM,Subnat,GTMr102,North,2013,0.621,0.785,0.512,0.596
Guatemala,America,GTM,Subnat,GTMr107,North-Occidental,2013,0.623,0.756,0.488,0.655
Guatemala,America,GTM,Subnat,GTMr103,North-Oriental,2013,0.661,0.77,0.561,0.669
Guatemala,America,GTM,Subnat,GTMr108,Peten,2013,0.667,0.811,0.56,0.653
Guatemala,America,GTM,Subnat,GTMr106,South-Occidental,2013,0.683,0.784,0.58,0.702
Guatemala,America,GTM,Subnat,GTMr104,South-Oriental,2013,0.665,0.787,0.553,0.675
