Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,shdi,healthindex,edindex,incindex
Guatemala,America,GTM,National,GTMt,Total,2010,0.689,0.767,0.616,0.691
Guatemala,America,GTM,Subnat,GTMr105,Central,2010,0.68,0.761,0.605,0.682
Guatemala,America,GTM,Subnat,GTMr101,Metropolitan,2010,0.789,0.793,0.787,0.789
Guatemala,America,GTM,Subnat,GTMr102,North,2010,0.622,0.771,0.532,0.586
Guatemala,America,GTM,Subnat,GTMr107,North-Occidental,2010,0.614,0.744,0.49,0.635
Guatemala,America,GTM,Subnat,GTMr103,North-Oriental,2010,0.658,0.756,0.57,0.662
Guatemala,America,GTM,Subnat,GTMr108,Peten,2010,0.68,0.788,0.604,0.66
Guatemala,America,GTM,Subnat,GTMr106,South-Occidental,2010,0.673,0.762,0.586,0.684
Guatemala,America,GTM,Subnat,GTMr104,South-Oriental,2010,0.664,0.774,0.569,0.664
