Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,shdi,healthindex,edindex,incindex
Guatemala,America,GTM,National,GTMt,Total,2022,0.698,0.788,0.595,0.725
Guatemala,America,GTM,Subnat,GTMr105,Central,2022,0.712,0.78,0.619,0.746
Guatemala,America,GTM,Subnat,GTMr101,Metropolitan,2022,0.81,0.812,0.811,0.807
Guatemala,America,GTM,Subnat,GTMr102,North,2022,0.612,0.789,0.472,0.616
Guatemala,America,GTM,Subnat,GTMr107,North-Occidental,2022,0.61,0.76,0.442,0.676
Guatemala,America,GTM,Subnat,GTMr103,North-Oriental,2022,0.689,0.774,0.586,0.722
Guatemala,America,GTM,Subnat,GTMr108,Peten,2022,0.673,0.82,0.556,0.669
Guatemala,America,GTM,Subnat,GTMr106,South-Occidental,2022,0.673,0.794,0.534,0.719
Guatemala,America,GTM,Subnat,GTMr104,South-Oriental,2022,0.679,0.79,0.554,0.715
