Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,shdi,healthindex,edindex,incindex
Guatemala,America,GTM,National,GTMt,Total,2021,0.681,0.736,0.596,0.721
Guatemala,America,GTM,Subnat,GTMr105,Central,2021,0.695,0.729,0.621,0.742
Guatemala,America,GTM,Subnat,GTMr101,Metropolitan,2021,0.791,0.759,0.813,0.802
Guatemala,America,GTM,Subnat,GTMr102,North,2021,0.598,0.737,0.473,0.611
Guatemala,America,GTM,Subnat,GTMr107,North-Occidental,2021,0.596,0.709,0.443,0.672
Guatemala,America,GTM,Subnat,GTMr103,North-Oriental,2021,0.673,0.724,0.588,0.717
Guatemala,America,GTM,Subnat,GTMr108,Peten,2021,0.658,0.767,0.558,0.664
Guatemala,America,GTM,Subnat,GTMr106,South-Occidental,2021,0.657,0.742,0.536,0.715
Guatemala,America,GTM,Subnat,GTMr104,South-Oriental,2021,0.663,0.739,0.555,0.71
